Timestamp,Power Consumption,Hour,Minute,DayOfWeek,Month,DayOfYear,WeekOfYear,Year,BlockNo
2020-01-01 00:00:00,105800696.0,0,0,2,1,1,1,2020,1
2020-01-01 00:15:00,91680633.0,0,15,2,1,1,1,2020,2
2020-01-01 00:30:00,94755091.8,0,30,2,1,1,1,2020,3
2020-01-01 00:45:00,112538024.8,0,45,2,1,1,1,2020,4
2020-01-01 01:00:00,101964658.5,1,0,2,1,1,1,2020,5
2020-01-01 01:15:00,92493097.7,1,15,2,1,1,1,2020,6
2020-01-01 01:30:00,83125998.0,1,30,2,1,1,1,2020,7
2020-01-01 01:45:00,78954631.0,1,45,2,1,1,1,2020,8
2020-01-01 02:00:00,83030915.7,2,0,2,1,1,1,2020,9
2020-01-01 02:15:00,88977227.3,2,15,2,1,1,1,2020,10
2020-01-01 02:30:00,70910966.9,2,30,2,1,1,1,2020,11
2020-01-01 02:45:00,64887415.9,2,45,2,1,1,1,2020,12
2020-01-01 03:00:00,73092962.5,3,0,2,1,1,1,2020,13
2020-01-01 03:15:00,73851339.1,3,15,2,1,1,1,2020,14
2020-01-01 03:30:00,92801408.3,3,30,2,1,1,1,2020,15
2020-01-01 03:45:00,81179533.7,3,45,2,1,1,1,2020,16
2020-01-01 04:00:00,77146959.9,4,0,2,1,1,1,2020,17
2020-01-01 04:15:00,98691865.4,4,15,2,1,1,1,2020,18
2020-01-01 04:30:00,92099745.9,4,30,2,1,1,1,2020,19
2020-01-01 04:45:00,91030392.3,4,45,2,1,1,1,2020,20
2020-01-01 05:00:00,98268109.1,5,0,2,1,1,1,2020,21
2020-01-01 05:15:00,113958758.7,5,15,2,1,1,1,2020,22
2020-01-01 05:30:00,101627417.2,5,30,2,1,1,1,2020,23
2020-01-01 05:45:00,116322489.2,5,45,2,1,1,1,2020,24
2020-01-01 06:00:00,116174247.8,6,0,2,1,1,1,2020,25
2020-01-01 06:15:00,120972761.4,6,15,2,1,1,1,2020,26
2020-01-01 06:30:00,114392499.2,6,30,2,1,1,1,2020,27
2020-01-01 06:45:00,106048336.1,6,45,2,1,1,1,2020,28
2020-01-01 07:00:00,128309625.5,7,0,2,1,1,1,2020,29
2020-01-01 07:15:00,107861129.3,7,15,2,1,1,1,2020,30
